Age_band_of_driver,Vehicle_driver_relation,Driving_experience,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Cause_of_accident,Accident_severity
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
18-30,Owner,5-10yr,Crossing,Asphalt roads with some distress,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
Unknown,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Raining and Windy,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
Under 18,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
Over 51,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
18-30,Employee,No Licence,No junction,Asphalt roads,Daylight,Raining,Rollover,Moving Backward,Changing lane to the right,1
Over 51,Owner,5-10yr,Y Shape,Asphalt roads,Daylight,Other,Rollover,Going straight,Moving Backward,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Owner,Above 10yr,Unknown,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Waiting to go,No distancing,1
Under 18,Owner,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Raining,Unknown,Unknown,No distancing,1
18-30,Owner,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
Over 51,Employee,5-10yr,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Over 51,Employee,No Licence,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Getting off the vehicle improperly,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Waiting to go,No distancing,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Unknown,Going straight,Overturning,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Driving carelessly,1
18-30,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
Over 51,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Getting off the vehicle improperly,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Moving Backward,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Reversing,Driving carelessly,2
Over 51,Owner,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Changing lane to the right,1
31-50,Employee,Above 10yr,Other,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
Over 51,Other,Above 10yr,Crossing,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
31-50,Employee,Above 10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
18-30,Employee,No Licence,Crossing,Asphalt roads,Daylight,Normal,Rollover,Going straight,Changing lane to the right,1
31-50,Owner,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Rollover,Going straight,No priority to vehicle,1
31-50,Employee,5-10yr,Crossing,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,Moving Backward,No priority to pedestrian,1
Unknown,Owner,Above 10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
31-50,Owner,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Owner,5-10yr,Unknown,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
Over 51,Employee,5-10yr,Crossing,Asphalt roads,Darkness - lights lit,Windy,Vehicle with vehicle collision,Going straight,No distancing,1
Over 51,Employee,5-10yr,Unknown,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
Under 18,Employee,No Licence,Unknown,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,No priority to pedestrian,2
Over 51,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Unknown,Collision with pedestrians,Getting off,Overloading,2
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Changing lane to the right,1
Over 51,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Turnover,Improper parking,1
Over 51,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,1
Over 51,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Moving Backward,No priority to vehicle,1
Over 51,Employee,1-2yr,O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Changing lane to the right,1
Over 51,Owner,5-10yr,O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,No distancing,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Employee,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Owner,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving at high speed,1
31-50,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,Getting off the vehicle improperly,1
18-30,Employee,5-10yr,O Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,No distancing,2
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Overtaking,1
Unknown,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Owner,Above 10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Driving carelessly,1
31-50,Owner,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,2
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,2
Unknown,Employee,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Driving to the left,2
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Driving at high speed,2
31-50,Owner,1-2yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Changing lane to the left,2
Over 51,Owner,1-2yr,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Overtaking,2
31-50,Owner,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Changing lane to the right,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads with some distress,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,Above 10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
Over 51,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,2-5yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overturning,1
18-30,Employee,Below 1yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
18-30,Employee,Below 1yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Other,1
31-50,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,No distancing,2
18-30,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Moving Backward,1
31-50,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Driving to the left,2
Unknown,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Driving carelessly,2
18-30,Employee,2-5yr,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Employee,Above 10yr,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Employee,5-10yr,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Parked,Changing lane to the right,1
31-50,Employee,Below 1yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Over 51,Employee,Above 10yr,No junction,Asphalt roads with some distress,Daylight,Normal,Vehicle with vehicle collision,Reversing,Other,1
31-50,Owner,2-5yr,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Owner,1-2yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
31-50,Owner,1-2yr,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Moving Backward,1
Unknown,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Changing lane to the left,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,No distancing,1
31-50,Employee,Above 10yr,Crossing,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Other,2
Under 18,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Unknown,Collision with animals,Going straight,No distancing,1
18-30,Employee,2-5yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Going straight,Moving Backward,1
Over 51,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Rollover,Going straight,Overtaking,1
31-50,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Other,1
31-50,Employee,Below 1yr,Crossing,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,No priority to vehicle,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Fall from vehicles,Going straight,No distancing,1
Unknown,Employee,Above 10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Overloading,1
18-30,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Changing lane to the left,2
31-50,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Changing lane to the left,1
18-30,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Moving Backward,No priority to vehicle,1
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,1
18-30,Employee,1-2yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Over 51,Employee,2-5yr,No junction,Gravel roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,5-10yr,Y Shape,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Other,1
18-30,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Driving carelessly,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Other,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Changing lane to the left,2
18-30,Owner,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Unknown,Employee,2-5yr,No junction,Other,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
31-50,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
31-50,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
31-50,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
Unknown,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,1
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Turnover,No priority to vehicle,2
Over 51,Employee,2-5yr,O Shape,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,2
Over 51,Employee,2-5yr,O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
Under 18,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Driving carelessly,1
31-50,Owner,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Over 51,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overturning,2
31-50,Employee,Above 10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Overturning,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Driving at high speed,1
18-30,Owner,2-5yr,Y Shape,Asphalt roads with some distress,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
Under 18,Owner,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,1
18-30,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,1-2yr,No junction,Earth roads,Daylight,Normal,Collision with pedestrians,Going straight,Moving Backward,Fatal injury
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,No priority to vehicle,1
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Over 51,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,No distancing,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Changing lane to the right,1
